positive_positive_edges,positive_with_positive_neighbor,isolated_positive_count,positive_component_count,positive_cluster_component_count,largest_positive_component,largest_positive_component_ratio,positive_neighbor_ratio,sample_size,positive_count,positive_rate,contact_edges,contact_types,age_groups,seed,sample_index,path,attempts_used,sampling_conditions_met,target_age_groups,workplace_contact_types,max_positive_rate_condition,min_positive_count_condition,nonoverlap_person_count_so_far
37,74,0,37,37,2,0.02702702702702703,1.0,3000,74,0.024666666666666667,85,1,2;3;4;5,1,39,openabm_sample_outputs/seed_1/samples/company_n3000_sample39_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,117000
52,104,0,52,52,2,0.019230769230769232,1.0,3000,104,0.034666666666666665,103,1,2;3;4;5,1,40,openabm_sample_outputs/seed_1/samples/company_n3000_sample40_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,120000
41,82,0,41,41,2,0.024390243902439025,1.0,3000,82,0.027333333333333334,91,1,2;3;4;5,1,41,openabm_sample_outputs/seed_1/samples/company_n3000_sample41_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,123000
52,104,0,52,52,2,0.019230769230769232,1.0,3000,104,0.034666666666666665,102,1,2;3;4;5,1,42,openabm_sample_outputs/seed_1/samples/company_n3000_sample42_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,126000
29,58,0,29,29,2,0.034482758620689655,1.0,3000,58,0.019333333333333334,84,1,2;3;4;5,1,43,openabm_sample_outputs/seed_1/samples/company_n3000_sample43_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,129000
36,72,0,36,36,2,0.027777777777777776,1.0,3000,72,0.024,92,1,2;3;4;5,1,44,openabm_sample_outputs/seed_1/samples/company_n3000_sample44_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,132000
47,94,0,47,47,2,0.02127659574468085,1.0,3000,94,0.03133333333333333,107,1,2;3;4;5,1,45,openabm_sample_outputs/seed_1/samples/company_n3000_sample45_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,135000
33,66,0,33,33,2,0.030303030303030304,1.0,3000,66,0.022,83,1,2;3;4;5,1,46,openabm_sample_outputs/seed_1/samples/company_n3000_sample46_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,138000
32,64,0,32,32,2,0.03125,1.0,3000,64,0.021333333333333333,92,1,2;3;4;5,1,47,openabm_sample_outputs/seed_1/samples/company_n3000_sample47_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,141000
30,60,0,30,30,2,0.03333333333333333,1.0,3000,60,0.02,78,1,2;3;4;5,1,48,openabm_sample_outputs/seed_1/samples/company_n3000_sample48_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,144000
30,60,0,30,30,2,0.03333333333333333,1.0,3000,60,0.02,76,1,2;3;4;5,1,49,openabm_sample_outputs/seed_1/samples/company_n3000_sample49_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,147000
45,90,0,45,45,2,0.022222222222222223,1.0,3000,90,0.03,95,1,2;3;4;5,1,50,openabm_sample_outputs/seed_1/samples/company_n3000_sample50_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,150000
